;Test true y;Pred
0;1193.6;1192.7207
1;1546.99;1552.4628
2;1474.3;1473.8384
3;1487.35;1491.1484
4;1568.27;1567.2407
5;1772.61;1770.9945
6;1288.26;1317.891
7;1350.24;1385.3188
8;1385.4;1390.6182
9;1353.2;1325.2191
10;1781.37;1785.1947
11;1601.66;1604.0273
12;1516.3;1516.5387
13;1573.23;1592.171
14;1603.5;1604.5549
15;1678.2;1668.9304
16;1220.4;1223.055
17;1293.91;1309.0299
18;1606.3;1606.7969
19;1427.0;1431.7136
20;1570.3;1571.045
21;1446.73;1452.1178
22;1508.2;1509.191
23;1757.9;1754.5339
24;1133.0;1128.6361
25;1678.09;1670.2483
26;1382.0;1391.6344
27;1683.12;1686.1036
28;1378.19;1413.3494
29;1196.8;1225.5416
30;1420.9;1423.1106
31;1723.31;1722.6981
32;1742.63;1746.3997
33;1854.62;1858.1469
34;1407.8;1412.9442
35;1496.13;1496.9896
36;1312.5;1322.0441
37;1306.6;1308.2974
38;1625.6;1627.9957
39;1614.73;1616.7314
40;1397.82;1410.5945
41;1837.59;1844.077
42;1351.93;1336.8315
43;1757.0;1760.6993
44;1435.21;1436.699
45;1834.02;1834.9943
46;1670.63;1675.103
47;1749.05;1748.9844
48;1717.3;1717.9716
49;1520.75;1502.9747
50;1586.2;1591.7759
51;1344.84;1353.0835
52;1591.0;1582.1505
53;1233.96;1256.8043
54;1488.8;1486.4766
55;1811.5;1815.4132
56;1635.2;1618.4205
57;1919.0;1919.5437
58;1199.7;1196.2344
59;1218.1;1221.7638
60;1633.24;1636.1523
61;1362.89;1376.1886
62;1526.1;1526.5481
63;1524.75;1526.6903
64;1372.0;1381.0239
65;1424.9;1421.3882
66;1530.0;1535.4535
67;1438.12;1440.071
68;1717.99;1718.4357
69;1719.78;1720.9762
70;1519.4;1515.5852
71;1882.86;1881.203
72;1621.87;1637.2213
73;1534.82;1557.4884
74;1721.05;1720.9744
75;1396.71;1433.3373
76;1449.28;1466.5461
77;1806.08;1812.0656
78;1637.5;1639.5831
79;1308.64;1316.7819
80;1393.75;1408.7242
81;1599.51;1597.5109
82;1479.27;1480.545
83;1678.29;1679.67
84;1794.94;1800.4967
85;1155.1;1167.1498
86;1549.95;1553.0137
87;1371.8;1377.8718
88;1419.02;1430.561
89;1736.97;1743.8936
90;1369.79;1403.1647
91;1311.5;1313.8085
92;1860.2;1864.6304
93;1489.5;1490.1013
94;1259.5;1252.475
95;1382.4;1386.2769
96;1868.56;1870.2959
97;1454.2;1450.7339
98;1234.4;1211.2063
99;1878.0;1882.4974
100;1955.96;1954.2902
101;1431.59;1426.0953
102;1527.2;1528.2377
103;1507.79;1512.0743
104;1493.3;1494.0723
105;1705.78;1705.6816
106;1748.57;1747.0165
107;1475.37;1457.7589
108;1426.19;1427.3821
109;1475.29;1491.8552
110;1217.83;1230.4543
111;1226.6;1250.1553
112;1636.63;1642.9546
113;1351.0;1351.4165
114;1384.3;1385.1884
115;1644.5;1629.3821
116;1788.14;1791.6992
117;1304.78;1320.0201
118;1204.17;1210.7588
119;1828.42;1831.2605
120;1860.54;1865.2295
121;1513.3;1513.5619
122;1401.8;1387.479
123;1533.4;1529.9111
124;1268.63;1277.3433
125;1332.38;1336.3455
126;1515.95;1529.7086
127;1626.8;1625.224
128;1534.9;1536.6678
129;1599.4;1600.0094
130;1211.6;1205.8253
131;1429.8;1435.5436
132;1554.87;1556.1428
133;1895.7;1897.1592
134;1448.33;1445.1515
135;1358.2;1362.9681
136;1470.07;1474.463
137;1501.9;1503.0154
138;1541.69;1541.6931
139;1537.6;1535.8121
140;1493.1;1491.902
141;1541.7;1501.3213
142;1091.3;1091.9036
143;1854.62;1857.9901
144;1474.9;1481.021
145;1560.3;1560.9178
146;1592.52;1616.3939
147;1351.6;1352.4076
148;1207.3;1208.3978
149;1353.6;1336.2275
150;1381.82;1387.58
151;1265.75;1286.1841
152;1547.7;1549.1577
153;1522.1;1484.2162
154;1506.04;1508.4458
155;1494.3;1495.984
156;1508.7;1518.2592
157;1287.87;1260.6115
158;1674.5;1677.1626
159;1560.93;1577.8151
160;1875.4;1876.7467
161;1706.9;1713.0399
162;1205.0;1203.0421
163;1701.6;1702.5089
164;1761.6;1763.6656
165;1389.49;1392.249
166;1668.61;1661.8285
167;1400.3;1398.2568
168;1643.02;1642.5592
169;1539.5;1541.211
170;1312.77;1314.7742
171;1268.01;1278.8788
172;1450.6;1456.9113
173;1264.1;1264.0193
174;1382.54;1383.2734
175;1583.7;1584.2349
176;1663.64;1668.2559
177;1298.85;1322.1327
178;1529.7;1523.5197
179;1417.74;1395.6273
180;1255.2;1254.9597
181;1438.7;1445.6388
182;1473.0;1474.635
183;1666.6;1670.3206
184;1238.9;1239.9974
185;1732.1;1735.4476
186;1327.4;1329.1964
187;1516.3;1515.5089
188;1560.1;1568.0155
189;1451.0;1444.2003
190;1504.27;1514.9558
191;1350.8;1359.2526
192;1907.3;1912.4675
193;1435.57;1475.2206
194;1269.23;1275.3463
195;1297.29;1299.5188
196;1248.18;1255.062
197;1886.79;1888.736
198;1596.63;1596.9869
199;1693.1;1695.4062
200;1273.6;1277.2579
201;1277.1;1273.1812
202;1745.5;1749.1057
203;1692.56;1690.464
204;1340.0;1340.1217
205;1391.4;1393.3362
206;1410.3;1422.4594
207;1679.43;1679.5643
208;1913.77;1913.0452
209;1969.2;1968.8215
210;1830.13;1832.016
211;1589.2;1588.6393
212;1381.57;1382.2325
213;1512.09;1512.9625
214;1449.7;1455.1432
215;1624.43;1626.3596
216;1624.86;1643.8451
217;1544.56;1547.9813
218;1534.0;1540.7588
219;1600.65;1601.5574
220;1529.87;1527.8778
221;1416.0;1419.5123
222;1536.43;1544.7181
223;1309.7;1272.0822
224;1601.08;1603.3739
225;1522.2;1522.2461
226;1551.6;1553.2417
227;1426.1;1422.9835
228;1530.0;1530.8145
229;1742.63;1745.9675
230;1186.7;1192.8251
231;1211.5;1235.4348
232;1173.73;1180.4933
233;1215.0;1194.7164
234;1292.27;1302.1921
235;1409.95;1388.1565
236;1532.07;1536.468
237;1564.2;1564.9095
238;1761.8;1760.4924
239;1687.28;1681.6676
240;1443.65;1445.0752
241;1574.52;1587.5739
242;1351.64;1361.7987
243;1446.9;1438.7019
244;1422.14;1439.4103
245;1572.45;1572.048
246;1469.88;1463.61
247;1310.04;1342.9241
248;1710.62;1716.6075
249;1581.2;1580.099
250;1392.7;1390.2672
251;1592.4;1600.3776
252;1440.19;1431.2932
253;1426.78;1450.6514
254;1246.21;1255.9901
255;1166.12;1173.9851
256;1617.6;1618.0742
257;1388.86;1426.7201
258;1350.39;1350.8
259;1940.7;1944.7557
260;1204.0;1204.5747
261;1441.4;1445.8955
262;1642.52;1657.1812
263;1299.22;1308.6813
264;1877.8;1882.137
265;1288.68;1295.765
266;1539.4;1547.5717
267;1641.4;1639.9324
268;1176.0;1166.5881
269;1574.87;1578.4274
270;1575.7;1529.6156
271;1389.29;1386.0885
272;1903.43;1910.705
273;1810.1;1814.3495
274;1510.77;1515.4653
275;1246.48;1259.3737
276;1316.41;1316.4762
277;1774.69;1774.2034
278;1341.35;1341.8265
279;1869.91;1879.0695
280;1675.62;1667.7623
281;1485.86;1521.9044
282;1309.19;1320.5885
283;1471.3;1477.3944
284;1485.4;1491.7856
285;1493.1;1477.7367
286;1613.37;1617.9717
287;1314.9;1316.031
288;1800.81;1803.396
289;1267.31;1264.8242
290;1582.9;1583.1893
291;1370.8;1375.7831
292;1212.14;1210.2537
293;1651.64;1655.3116
294;1196.2;1210.3146
295;1244.17;1242.8586
296;1692.35;1691.0563
297;2044.7;2043.9221
298;1924.2;1924.0554
299;1493.2;1494.6738
300;1889.7;1891.7355
301;1303.6;1270.411
302;1232.13;1257.8972
303;1371.7;1368.3701
304;1316.1;1318.0392
305;1234.7;1200.3405
306;1323.4;1328.3412
307;1659.95;1666.7771
308;1538.6;1541.9004
309;1443.3;1445.9701
310;1559.65;1564.5951
311;1734.78;1736.7177
312;1698.7;1705.1621
313;1391.8;1398.4153
314;1848.63;1833.7092
315;1441.9;1441.2432
316;1241.71;1225.7452
317;1425.09;1436.0833
318;1658.62;1660.1068
319;1391.02;1394.8734
320;1604.7;1592.6825
321;1630.6;1628.9592
322;1686.08;1686.2026
323;1059.5;1060.341
324;1511.1;1504.8579
325;1765.79;1765.7819
326;1428.9;1430.9685
327;1466.6;1471.8639
328;1259.02;1268.2045
329;1314.68;1328.1846
330;1680.46;1691.1238
331;1560.88;1574.9642
332;1558.7;1558.6422
333;1467.63;1485.7631
334;1396.03;1400.0552
335;1487.04;1486.5751
336;1320.44;1316.9592
337;1441.76;1434.4845
338;1402.52;1390.554
339;1472.6;1482.4332
340;1459.03;1473.7653
341;1873.4;1873.0507
342;1736.97;1743.1664
343;1536.27;1547.3551
344;1917.0;1926.9135
345;1345.72;1356.2007
346;1309.79;1336.902
347;1504.4;1471.7357
348;1913.63;1917.8733
349;1478.1;1448.3899
350;1576.2;1576.8492
351;1538.12;1536.8804
352;1483.99;1483.7467
353;1441.9;1478.9464
354;1594.8;1598.224
355;1449.16;1452.2013
356;1563.3;1567.3816
357;1892.18;1900.3994
358;1473.61;1489.1699
359;1371.9;1354.2981
360;1608.16;1604.3104
361;1322.93;1327.7131
362;1773.36;1772.575
363;1554.43;1574.2458
364;1371.3;1331.0458
365;1768.7;1766.4286
366;1438.36;1441.847
367;1456.1;1456.5565
368;1622.17;1622.0062
369;1214.4;1211.4993
370;1437.13;1436.5492
371;1976.35;1977.6013
372;1358.8;1361.4496
373;1635.46;1628.6494
374;1322.0;1289.6251
375;1298.1;1301.1886
376;1585.9;1537.3241
377;1450.79;1486.5353
378;1356.45;1358.189
379;1517.2;1517.915
380;1566.7;1566.9141
381;1517.22;1495.8785
382;1402.83;1404.5056
383;1473.53;1479.6587
384;1640.54;1637.7726
385;1539.24;1540.1421
386;1640.34;1644.151
387;1675.53;1676.5475
388;1834.46;1833.6339
389;1808.06;1810.456
390;1782.61;1787.9534
391;1502.3;1511.304
392;1687.03;1692.7014
393;1358.65;1364.8225
394;1363.75;1361.384
395;1509.5;1511.3857
396;1522.4;1524.7814
397;1656.7;1651.3909
398;1436.8;1401.2236
399;1481.79;1472.7017
400;1339.2;1340.3943
401;1542.8;1544.586
402;1395.37;1400.5381
403;1348.8;1355.9889
404;1362.5;1366.0745
405;1439.56;1456.0814
406;1425.87;1430.5953
407;1723.98;1726.0314
408;1194.5;1219.64
409;1643.02;1642.5592
410;1685.12;1686.2146
411;1680.8;1692.6669
412;1861.68;1867.8574
413;1638.64;1642.2094
414;1781.37;1787.7668
415;1558.6;1557.1377
416;1920.09;1924.8069
417;1581.67;1585.5035
418;1484.9;1494.882
419;1834.0;1836.4164
420;1513.63;1522.6843
421;1466.7;1468.7289
422;1427.4;1433.2034
423;1228.01;1233.438
424;1161.22;1174.7269
425;1844.17;1847.961
426;1196.58;1202.2883
427;1597.7;1595.6581
428;1602.5;1618.4205
429;1622.91;1624.6499
430;1447.0;1448.0172
431;1379.0;1381.4025
432;1784.38;1786.1666
433;1245.6;1237.7603
434;1603.3;1602.5903
435;1538.0;1516.8584
436;1262.8;1242.791
437;1232.1;1224.8136
438;1968.24;1970.0619
439;1270.4;1271.1072
440;1778.25;1776.8284
441;1239.07;1243.8344
