;Test true y;Pred
0;1613.37;1610.4165
1;1314.9;1323.3615
2;1800.81;1798.2644
3;1267.31;1268.1163
4;1582.9;1584.3314
5;1370.8;1365.2495
6;1212.14;1211.5525
7;1651.64;1652.1975
8;1196.2;1195.6565
9;1244.17;1244.0535
10;1692.35;1689.6752
11;2044.7;2044.3217
12;1924.2;1925.8213
13;1493.2;1495.2206
14;1889.7;1899.521
15;1303.6;1301.5911
16;1232.13;1228.9319
17;1371.7;1374.3918
18;1316.1;1313.4908
19;1234.7;1236.0508
20;1323.4;1325.8867
21;1659.95;1659.4788
22;1538.6;1539.2498
23;1443.3;1451.0587
24;1559.65;1560.9274
25;1734.78;1735.4917
26;1698.7;1697.9746
27;1391.8;1388.3575
28;1848.63;1769.8416
29;1441.9;1442.0382
30;1241.71;1245.3505
31;1425.09;1425.9156
32;1658.62;1658.9504
33;1391.02;1393.4073
34;1604.7;1595.1973
35;1630.6;1631.3123
36;1686.08;1683.6398
37;1059.5;1055.8247
38;1511.1;1513.7324
39;1765.79;1769.3112
40;1428.9;1430.4216
41;1466.6;1463.7023
42;1259.02;1256.9191
43;1314.68;1312.4374
44;1680.46;1682.5299
45;1560.88;1558.2236
46;1558.7;1560.6422
47;1467.63;1476.5302
48;1396.03;1399.8489
49;1487.04;1488.529
50;1320.44;1321.4481
51;1441.76;1437.2585
52;1402.52;1386.0265
53;1472.6;1468.4501
54;1459.03;1460.6218
55;1873.4;1872.1129
56;1736.97;1737.5903
57;1536.27;1545.1927
58;1917.0;1911.7264
59;1345.72;1353.4454
60;1309.79;1318.1667
61;1504.4;1502.4607
62;1913.63;1906.1892
63;1478.1;1476.9619
64;1576.2;1574.2175
65;1538.12;1536.7684
66;1483.99;1484.5215
67;1441.9;1439.9243
68;1594.8;1594.5267
69;1449.16;1448.7272
70;1563.3;1562.7216
71;1892.18;1890.1376
72;1473.61;1472.6282
73;1371.9;1358.9143
74;1608.16;1605.518
75;1322.93;1320.5964
76;1773.36;1771.3691
77;1554.43;1551.9968
78;1371.3;1370.2269
79;1768.7;1772.7468
80;1438.36;1440.1364
81;1456.1;1454.049
82;1622.17;1623.7721
83;1214.4;1212.5865
84;1437.13;1439.3848
85;1976.35;1976.7424
86;1358.8;1359.4297
87;1635.46;1634.8517
88;1322.0;1319.6376
89;1298.1;1299.3419
90;1585.9;1577.9443
91;1450.79;1452.9976
92;1356.45;1356.3269
93;1517.2;1516.1421
94;1566.7;1566.8867
95;1517.22;1516.4026
96;1402.83;1412.003
97;1473.53;1473.0706
98;1640.54;1641.2712
99;1539.24;1533.7496
100;1640.34;1639.732
101;1675.53;1676.4993
102;1834.46;1838.2113
103;1808.06;1807.1792
104;1782.61;1785.6427
105;1502.3;1504.866
106;1687.03;1693.7584
107;1358.65;1357.2935
108;1363.75;1365.0686
109;1509.5;1511.6674
110;1522.4;1522.5431
111;1656.7;1654.2756
112;1436.8;1432.438
113;1481.79;1478.9504
114;1339.2;1339.538
115;1542.8;1540.7733
116;1395.37;1390.9054
117;1348.8;1355.1469
118;1362.5;1359.4478
119;1439.56;1440.9332
