M_C;M_A;SYM;P;T;EXP U
139.29;66.04;0;0.1;283.15;1774.6
139.29;66.04;0;5;283.15;1787.5
139.29;66.04;0;10;283.15;1800.6
139.29;66.04;0;20;283.15;1826
139.29;66.04;0;30;283.15;1850.5
139.29;66.04;0;40;283.15;1874.1
139.29;66.04;0;50;283.15;1896.8
139.29;66.04;0;60;283.15;1919
139.29;66.04;0;70;283.15;1940.7
139.29;66.04;0;80;283.15;1961.7
139.29;66.04;0;90;283.15;1982.1
139.29;66.04;0;95;283.15;1992.3
139.29;66.04;0;0.1;293.15;1748.6
139.29;66.04;0;5;293.15;1761.8
139.29;66.04;0;10;293.15;1775.1
139.29;66.04;0;20;293.15;1800.9
139.29;66.04;0;30;293.15;1825.8
139.29;66.04;0;40;293.15;1849.7
139.29;66.04;0;50;293.15;1872.9
139.29;66.04;0;60;293.15;1895.3
139.29;66.04;0;70;293.15;1917
139.29;66.04;0;80;293.15;1938.5
139.29;66.04;0;90;293.15;1959.2
139.29;66.04;0;95;293.15;1969.2
139.29;66.04;0;0.1;303.15;1724.9
139.29;66.04;0;5;303.15;1738.5
139.29;66.04;0;10;303.15;1752
139.29;66.04;0;20;303.15;1778.4
139.29;66.04;0;30;303.15;1803.9
139.29;66.04;0;40;303.15;1828.5
139.29;66.04;0;50;303.15;1852.2
139.29;66.04;0;60;303.15;1875
139.29;66.04;0;70;303.15;1897.3
139.29;66.04;0;80;303.15;1919
139.29;66.04;0;90;303.15;1940.2
139.29;66.04;0;95;303.15;1950.4
139.29;66.04;0;0.1;313.15;1700
139.29;66.04;0;5;313.15;1714
139.29;66.04;0;10;313.15;1727.9
139.29;66.04;0;20;313.15;1754.5
139.29;66.04;0;30;313.15;1780.6
139.29;66.04;0;40;313.15;1805.6
139.29;66.04;0;50;313.15;1829.8
139.29;66.04;0;60;313.15;1853
139.29;66.04;0;70;313.15;1875.9
139.29;66.04;0;80;313.15;1897.6
139.29;66.04;0;90;313.15;1919.4
139.29;66.04;0;95;313.15;1929.7
139.29;66.04;0;0.1;323.15;1676.1
139.29;66.04;0;5;323.15;1690.4
139.29;66.04;0;10;323.15;1704.4
139.29;66.04;0;20;323.15;1731.5
139.29;66.04;0;30;323.15;1757.9
139.29;66.04;0;40;323.15;1783.6
139.29;66.04;0;50;323.15;1808.1
